TTS_EXGS;TTS_EQ;energy1;layout;number_sidb
0.662326;0.001313;0.926310;21_hex_inputsdbp_nor_v157_00.sqd;21
1.377447;0.008930;0.935950;21_hex_inputsdbp_or_v139_10.sqd;22
0.138110;0.001129;1.009530;21_hex_inputsdbp_or_v82_01.sqd;19
287.595616;0.065288;1.378440;22_hex_inputsdbp_cx_try2_v1_11.sqd;29
286.656779;0.026467;1.323130;22_hex_inputsdbp_cx_try2_v1_10.sqd;29
0.139729;0.000603;0.948670;21_hex_inputsdbp_or_v82_00.sqd;19
1.400480;0.004526;0.995840;21_hex_inputsdbp_or_v139_11.sqd;22
0.648120;0.000819;0.742030;21_hex_inputsdbp_nor_v157_01.sqd;21
0.301294;0.001161;0.784880;21_hex_inputsdbp_nand_v58_11.sqd;20
65.121396;0.032648;0.906620;12_hex_inputsdbp_fo2_v16_0.sqd;27
0.299430;0.001496;0.981730;21_hex_inputsdbp_or_v200_10.sqd;20
2.977660;0.007628;0.999210;21_hex_inputsdbp_or_v57_11.sqd;23
0.644652;0.000793;0.931510;21_hex_inputsdbp_or_v36_00.sqd;21
0.646755;0.004060;0.977100;21_hex_inputsdbp_or_v36_01.sqd;21
0.299580;0.002229;1.043950;21_hex_inputsdbp_or_v200_11.sqd;20
3.000115;0.007280;0.939790;21_hex_inputsdbp_or_v57_10.sqd;23
64.795626;0.154556;0.973870;12_hex_inputsdbp_fo2_v16_1.sqd;27
0.303763;0.001017;0.991720;21_hex_inputsdbp_nand_v58_10.sqd;20
0.300285;0.001371;0.944470;21_hex_inputsdbp_nand_v58_00.sqd;20
0.302003;0.001319;0.977050;21_hex_inputsdbp_or_v200_01.sqd;20
3.136326;0.003198;0.898080;21_hex_inputsdbp_or_v57_00.sqd;23
0.648319;0.004860;1.023370;21_hex_inputsdbp_or_v36_11.sqd;21
0.648623;0.003631;0.964280;21_hex_inputsdbp_or_v36_10.sqd;21
0.299974;0.000760;0.915560;21_hex_inputsdbp_or_v200_00.sqd;20
2.996321;0.008565;0.946810;21_hex_inputsdbp_or_v57_01.sqd;23
0.297753;0.001477;1.012560;21_hex_inputsdbp_nand_v58_01.sqd;20
0.650559;0.001221;0.787020;21_hex_inputsdbp_nor_v157_11.sqd;21
289.017870;0.261867;1.278680;22_hex_inputsdbp_cx_try2_v1_00.sqd;29
1.384670;0.003565;0.939230;21_hex_inputsdbp_or_v139_01.sqd;22
0.138206;0.000568;1.012610;21_hex_inputsdbp_or_v82_10.sqd;19
0.136810;0.001125;1.076460;21_hex_inputsdbp_or_v82_11.sqd;19
1.373815;0.002605;0.885760;21_hex_inputsdbp_or_v139_00.sqd;22
285.231060;0.036083;1.310250;22_hex_inputsdbp_cx_try2_v1_01.sqd;29
0.640586;0.001073;0.740580;21_hex_inputsdbp_nor_v157_10.sqd;21
0.297822;0.000708;0.743190;21_hex_inputsdbp_nor_v41_01.sqd;20
0.639157;0.004938;0.946680;21_hex_inputsdbp_or_v53_01.sqd;21
1.377084;0.001565;0.869090;21_hex_inputsdbp_or_v304_00.sqd;22
1.388668;0.008215;0.977910;21_hex_inputsdbp_or_v232_01.sqd;22
13.633957;0.003446;0.970060;hex_21_inputsdbp_xnor_v23_10.sqd;25
13.674584;0.154457;1.019260;hex_21_inputsdbp_xnor_v23_11.sqd;25
1.382859;0.002359;0.919510;21_hex_inputsdbp_or_v232_00.sqd;22
1.374347;0.003903;0.925890;21_hex_inputsdbp_or_v304_01.sqd;22
0.642162;0.000790;0.902330;21_hex_inputsdbp_or_v53_00.sqd;21
0.296627;0.000917;0.954900;21_hex_inputsdbp_nor_v41_00.sqd;20
1.384594;0.005050;0.985770;21_hex_inputsdbp_or_v304_11.sqd;22
0.639494;0.006074;0.949500;21_hex_inputsdbp_or_v53_10.sqd;21
0.297476;0.000776;0.738000;21_hex_inputsdbp_nor_v41_10.sqd;20
1.384554;0.010998;0.979830;21_hex_inputsdbp_or_v232_10.sqd;22
13.769779;0.004076;0.963420;hex_21_inputsdbp_xnor_v23_01.sqd;25
13.626686;0.011514;1.169980;hex_21_inputsdbp_xnor_v23_00.sqd;25
1.381531;0.030618;1.044700;21_hex_inputsdbp_or_v232_11.sqd;22
0.298485;0.000865;0.787990;21_hex_inputsdbp_nor_v41_11.sqd;20
0.640734;0.005289;1.006600;21_hex_inputsdbp_or_v53_11.sqd;21
1.375565;0.005282;0.926550;21_hex_inputsdbp_or_v304_10.sqd;22
0.297267;0.000771;0.899070;21_hex_inputsdbp_or_v311_00.sqd;20
0.640008;0.001666;0.932890;21_hex_inputsdbp_nand_v206_00.sqd;21
1.387166;0.001207;0.871540;21_hex_inputsdbp_or_v70_00.sqd;22
1.380177;0.006668;0.972360;21_hex_inputsdbp_or_v301_11.sqd;22
2.947911;0.004136;1.160040;21_hex_inputsdbp_nand_v199_01.sqd;23
2.951434;0.005497;1.097910;21_hex_inputsdbp_nand_v199_00.sqd;23
1.384633;0.009679;0.915400;21_hex_inputsdbp_or_v301_10.sqd;22
1.390632;0.008314;0.926140;21_hex_inputsdbp_or_v70_01.sqd;22
0.638689;0.005923;1.000280;21_hex_inputsdbp_nand_v206_01.sqd;21
