TTS_EXGS;TTS_EQ;energy1;layout;number_sidb
0.696067;0.002323;0.926310;21_hex_inputsdbp_nor_v157_00.sqd;21
1.448877;0.006733;0.935950;21_hex_inputsdbp_or_v139_10.sqd;22
0.142970;0.001291;1.009530;21_hex_inputsdbp_or_v82_01.sqd;19
287.511830;0.087455;1.378440;22_hex_inputsdbp_cx_try2_v1_11.sqd;29
286.088594;0.032138;1.323130;22_hex_inputsdbp_cx_try2_v1_10.sqd;29
0.136613;0.000932;0.948670;21_hex_inputsdbp_or_v82_00.sqd;19
1.378856;0.004358;0.995840;21_hex_inputsdbp_or_v139_11.sqd;22
0.637843;0.001839;0.742030;21_hex_inputsdbp_nor_v157_01.sqd;21
0.295904;0.002346;0.784880;21_hex_inputsdbp_nand_v58_11.sqd;20
65.012127;0.045916;0.906620;12_hex_inputsdbp_fo2_v16_0.sqd;27
0.304743;0.001224;0.981730;21_hex_inputsdbp_or_v200_10.sqd;20
3.010191;0.008805;0.999210;21_hex_inputsdbp_or_v57_11.sqd;23
0.650784;0.002110;0.931510;21_hex_inputsdbp_or_v36_00.sqd;21
0.647715;0.004314;0.977100;21_hex_inputsdbp_or_v36_01.sqd;21
0.302813;0.002470;1.043950;21_hex_inputsdbp_or_v200_11.sqd;20
3.015284;0.006344;0.939790;21_hex_inputsdbp_or_v57_10.sqd;23
63.897073;0.213350;0.973870;12_hex_inputsdbp_fo2_v16_1.sqd;27
0.298651;0.001218;0.991720;21_hex_inputsdbp_nand_v58_10.sqd;20
0.300026;0.002309;0.944470;21_hex_inputsdbp_nand_v58_00.sqd;20
0.301695;0.002095;0.977050;21_hex_inputsdbp_or_v200_01.sqd;20
2.970590;0.003255;0.898080;21_hex_inputsdbp_or_v57_00.sqd;23
0.644921;0.003750;1.023370;21_hex_inputsdbp_or_v36_11.sqd;21
0.646957;0.003926;0.964280;21_hex_inputsdbp_or_v36_10.sqd;21
0.299621;0.001776;0.915560;21_hex_inputsdbp_or_v200_00.sqd;20
2.963152;0.010674;0.946810;21_hex_inputsdbp_or_v57_01.sqd;23
0.300587;0.001990;1.012560;21_hex_inputsdbp_nand_v58_01.sqd;20
0.645605;0.002135;0.787020;21_hex_inputsdbp_nor_v157_11.sqd;21
286.146172;0.188497;1.278680;22_hex_inputsdbp_cx_try2_v1_00.sqd;29
1.378859;0.004894;0.939230;21_hex_inputsdbp_or_v139_01.sqd;22
0.136661;0.000948;1.012610;21_hex_inputsdbp_or_v82_10.sqd;19
0.136938;0.002969;1.076460;21_hex_inputsdbp_or_v82_11.sqd;19
1.388686;0.002515;0.885760;21_hex_inputsdbp_or_v139_00.sqd;22
285.344401;0.051364;1.310250;22_hex_inputsdbp_cx_try2_v1_01.sqd;29
0.661166;0.001237;0.740580;21_hex_inputsdbp_nor_v157_10.sqd;21
0.299944;0.001285;0.743190;21_hex_inputsdbp_nor_v41_01.sqd;20
0.669277;0.006502;0.946680;21_hex_inputsdbp_or_v53_01.sqd;21
1.381335;0.002523;0.869090;21_hex_inputsdbp_or_v304_00.sqd;22
1.385494;0.010303;0.977910;21_hex_inputsdbp_or_v232_01.sqd;22
13.743827;0.003295;0.970060;hex_21_inputsdbp_xnor_v23_10.sqd;25
13.684992;0.141318;1.019260;hex_21_inputsdbp_xnor_v23_11.sqd;25
1.378599;0.002471;0.919510;21_hex_inputsdbp_or_v232_00.sqd;22
1.382491;0.003216;0.925890;21_hex_inputsdbp_or_v304_01.sqd;22
0.642404;0.002005;0.902330;21_hex_inputsdbp_or_v53_00.sqd;21
0.299420;0.001729;0.954900;21_hex_inputsdbp_nor_v41_00.sqd;20
1.380794;0.003716;0.985770;21_hex_inputsdbp_or_v304_11.sqd;22
0.643803;0.004892;0.949500;21_hex_inputsdbp_or_v53_10.sqd;21
0.299799;0.001130;0.738000;21_hex_inputsdbp_nor_v41_10.sqd;20
1.387034;0.009979;0.979830;21_hex_inputsdbp_or_v232_10.sqd;22
13.707755;0.003207;0.963420;hex_21_inputsdbp_xnor_v23_01.sqd;25
13.741268;0.006907;1.169980;hex_21_inputsdbp_xnor_v23_00.sqd;25
1.384407;0.026225;1.044700;21_hex_inputsdbp_or_v232_11.sqd;22
0.300379;0.001793;0.787990;21_hex_inputsdbp_nor_v41_11.sqd;20
0.646492;0.006155;1.006600;21_hex_inputsdbp_or_v53_11.sqd;21
1.378165;0.004180;0.926550;21_hex_inputsdbp_or_v304_10.sqd;22
0.301561;0.001996;0.899070;21_hex_inputsdbp_or_v311_00.sqd;20
0.645562;0.002721;0.932890;21_hex_inputsdbp_nand_v206_00.sqd;21
1.376921;0.002548;0.871540;21_hex_inputsdbp_or_v70_00.sqd;22
1.401911;0.005064;0.972360;21_hex_inputsdbp_or_v301_11.sqd;22
2.974212;0.005574;1.160040;21_hex_inputsdbp_nand_v199_01.sqd;23
2.970764;0.005169;1.097910;21_hex_inputsdbp_nand_v199_00.sqd;23
1.394728;0.007830;0.915400;21_hex_inputsdbp_or_v301_10.sqd;22
1.378271;0.009390;0.926140;21_hex_inputsdbp_or_v70_01.sqd;22
0.653439;0.006824;1.000280;21_hex_inputsdbp_nand_v206_01.sqd;21
0.299886;0.002120;0.947230;21_hex_inputsdbp_or_v311_01.sqd;20
1.418081;0.007615;0.947820;21_hex_inputsdbp_or_v163_01.sqd;22
0.297130;0.005763;1.062620;21_hex_inputsdbp_or_v149_11.sqd;20
0.297257;0.002276;0.784060;21_hex_inputsdbp_nor_v170_11.sqd;20
0.296229;0.001157;0.739210;21_hex_inputsdbp_nor_v170_10.sqd;20
0.296507;0.002702;1.002740;21_hex_inputsdbp_or_v149_10.sqd;20
1.387346;0.002517;0.892220;21_hex_inputsdbp_or_v163_00.sqd;22
1.379163;0.009298;0.949380;21_hex_inputsdbp_or_v163_10.sqd;22
0.296823;0.001885;0.936930;21_hex_inputsdbp_or_v149_00.sqd;20
0.299717;0.001825;0.926310;21_hex_inputsdbp_nor_v170_00.sqd;20
0.296192;0.001796;0.737570;21_hex_inputsdbp_nor_v170_01.sqd;20
0.296325;0.002574;0.995630;21_hex_inputsdbp_or_v149_01.sqd;20
1.373855;0.010213;1.008870;21_hex_inputsdbp_or_v163_11.sqd;22
0.296657;0.004926;1.014050;21_hex_inputsdbp_or_v311_11.sqd;20
1.381943;0.008066;0.983920;21_hex_inputsdbp_or_v70_11.sqd;22
0.642101;0.002544;0.787160;21_hex_inputsdbp_nand_v206_11.sqd;21
2.972280;0.003125;0.935420;21_hex_inputsdbp_nand_v199_10.sqd;23
1.386599;0.002568;0.869090;21_hex_inputsdbp_or_v301_00.sqd;22
1.388916;0.008392;0.920390;21_hex_inputsdbp_or_v301_01.sqd;22
2.957674;0.004610;0.990770;21_hex_inputsdbp_nand_v199_11.sqd;23
0.647447;0.001605;0.979670;21_hex_inputsdbp_nand_v206_10.sqd;21
1.410229;0.013366;0.922600;21_hex_inputsdbp_or_v70_10.sqd;22
0.311387;0.002993;0.962400;21_hex_inputsdbp_or_v311_10.sqd;20
0.658448;0.003091;0.983750;21_hex_inputsdbp_nand_v88_10.sqd;21
0.301694;0.002019;0.787990;21_hex_inputsdbp_nor_v140_11.sqd;20
0.301261;0.001866;0.883370;21_hex_inputsdbp_or_v114_00.sqd;20
2.986051;0.002713;0.738000;21_hex_inputsdbp_nor_v119_10.sqd;23
3.007819;0.003080;0.784060;21_hex_inputsdbp_nor_v119_11.sqd;23
0.301083;0.008080;0.935640;21_hex_inputsdbp_or_v114_01.sqd;20
0.298759;0.001144;0.738000;21_hex_inputsdbp_nor_v140_10.sqd;20
0.645349;0.002406;0.787160;21_hex_inputsdbp_nand_v88_11.sqd;21
0.646958;0.003227;0.920390;21_hex_inputsdbp_or_v15_01.sqd;21
1292.062189;4.303449;1.331210;22_hex_inputsdbp_ha_v3_11.sqd;31
1.385593;0.009801;0.926550;21_hex_inputsdbp_or_v276_10.sqd;22
0.302760;0.003746;1.011120;21_hex_inputsdbp_or_v340_11.sqd;20
0.301954;0.002005;0.953320;21_hex_inputsdbp_or_v340_10.sqd;20
1.397077;0.008739;0.985770;21_hex_inputsdbp_or_v276_11.sqd;22
1272.313773;0.352716;1.266530;22_hex_inputsdbp_ha_v3_10.sqd;31
0.638153;0.001948;0.878550;21_hex_inputsdbp_or_v15_00.sqd;21
0.637982;0.002225;0.915400;21_hex_inputsdbp_or_v15_10.sqd;21
