TTS;energy;layout;number_sidb
0.027209;0.967423;hex_21_inputsdbp_xor_v1_01.sqd;21
0.006361;1.010352;12_hex_inputsdbp_fo2_v6_0.sqd;20
0.045224;1.076673;12_hex_inputsdbp_fo2_v6_1.sqd;20
0.008903;0.936637;hex_21_inputsdbp_xor_v1_00.sqd;21
0.011986;0.991190;hex_21_inputsdbp_xor_v1_10.sqd;21
0.062050;1.393547;22_hex_inputsdbp_hourglass_v0.sqd;30
0.007660;0.779698;hex_21_inputsdbp_xor_v1_11.sqd;21
0.001167;0.958492;hex_11_inputsdbp_inv_straight_v0_manual_1.sqd;18
0.021035;0.902617;hex_11_inputsdbp_inv_straight_v0_manual_0.sqd;18
0.058829;0.955368;hex_21_inputsdbp_xnor_v21_01.sqd;21
0.010083;1.038170;hex_11_inputsdbp_inv_diag_v0_manual_0.sqd;18
0.052293;1.080879;22_hex_inputsdbp_ha_v2_10.sqd;24
0.043384;1.128251;22_hex_inputsdbp_ha_v2_11.sqd;24
0.000882;1.105995;hex_11_inputsdbp_inv_diag_v0_manual_1.sqd;18
0.033719;0.983805;21_hex_inputsdbp_nor_v7.sqd;21
0.004971;1.160610;hex_21_inputsdbp_xnor_v21_00.sqd;21
0.019864;1.038170;hex_11_inputsdbp_inv_diag_v0_manual.sqd;19
0.042739;1.019388;22_hex_inputsdbp_ha_v2.sqd;26
0.015901;0.977420;21_hex_inputsdbp_nand_v7.sqd;21
0.036579;0.928993;21_hex_inputsdbp_and_v19.sqd;23
0.043110;0.947091;hex_21_inputsdbp_xnor_v21_10.sqd;21
0.049121;1.065348;22_hex_inputsdbp_ha_v2_01.sqd;24
0.016920;1.019388;22_hex_inputsdbp_ha_v2_00.sqd;24
0.046155;0.996461;hex_21_inputsdbp_xnor_v21_11.sqd;21
0.000686;0.586761;hex_11_inputsdbp_wire_straight_v0_manual_0.sqd;15
0.015992;1.160610;hex_21_inputsdbp_xnor_v21.sqd;23
0.001669;0.813155;hex_11_inputsdbp_wire_diag_v0_manual_1.sqd;16
0.034751;0.902617;hex_11_inputsdbp_inv_straight_v0_manual.sqd;19
0.001269;0.749040;hex_11_inputsdbp_wire_diag_v0_manual_0.sqd;16
0.001139;0.586761;hex_11_inputsdbp_wire_straight_v0_manual.sqd;16
0.002042;0.652663;hex_11_inputsdbp_wire_straight_v0_manual_1.sqd;15
0.130588;1.293495;22_hex_inputsdbp_cx_try2_v0_10.sqd;27
0.142991;1.447686;22_hex_inputsdbp_hourglass_v0_01.sqd;28
0.024516;1.393547;22_hex_inputsdbp_hourglass_v0_00.sqd;28
0.429730;1.360880;22_hex_inputsdbp_cx_try2_v0_11.sqd;27
0.163463;1.312207;22_hex_inputsdbp_cx_try2_v0_01.sqd;27
0.032093;0.936637;hex_21_inputsdbp_xor_v1.sqd;23
0.073834;1.447687;22_hex_inputsdbp_hourglass_v0_10.sqd;28
0.009705;1.010352;12_hex_inputsdbp_fo2_v6.sqd;21
0.851748;1.507168;22_hex_inputsdbp_hourglass_v0_11.sqd;28
0.035778;1.248940;22_hex_inputsdbp_cx_try2_v0_00.sqd;27
0.015929;0.917506;21_hex_inputsdbp_or_v17.sqd;23
0.005473;0.977420;21_hex_inputsdbp_nand_v7_00.sqd;19
0.002750;0.739212;21_hex_inputsdbp_nor_v7_10.sqd;19
0.002203;0.784063;21_hex_inputsdbp_nor_v7_11.sqd;19
0.003844;1.025765;21_hex_inputsdbp_nand_v7_01.sqd;19
0.017034;0.974186;21_hex_inputsdbp_or_v17_10.sqd;21
0.012685;1.037737;21_hex_inputsdbp_or_v17_11.sqd;21
0.050957;1.053502;21_hex_inputsdbp_and_v19_01.sqd;24
0.072648;1.248940;22_hex_inputsdbp_cx_try2_v0.sqd;29
0.001849;0.749040;hex_11_inputsdbp_wire_diag_v0_manual.sqd;17
0.064794;1.194118;21_hex_inputsdbp_and_v19_11.sqd;25
0.014063;0.979825;21_hex_inputsdbp_or_v17_01.sqd;21
0.006102;0.917506;21_hex_inputsdbp_or_v17_00.sqd;21
0.012861;0.981398;21_hex_inputsdbp_and_v19_10.sqd;21
0.002521;0.737572;21_hex_inputsdbp_nor_v7_01.sqd;19
0.005584;1.002192;21_hex_inputsdbp_nor_v7_00.sqd;19
0.004805;1.024446;21_hex_inputsdbp_nand_v7_10.sqd;19
