TTS;energy1;layout;number_sidb
0.000046;0.770626;5;10
0.000085;0.888823;6;10
0.000133;0.746221;13;11
0.000074;0.507908;19;10
0.000036;0.675117;22;10
0.000038;0.677087;29;10
0.116657;0.588156;32;10
0.000114;0.866522;33;10
0.000041;0.609007;39;10
0.000049;0.580316;40;9
0.000023;0.733607;45;9
50.000000;1000000.000000;53;12
0.000042;1.146475;55;11
0.000027;0.828497;57;10
0.000099;0.552985;62;10
0.000143;0.794169;64;12
0.000031;0.812092;70;10
0.000046;0.691117;73;10
0.000068;0.749634;77;10
0.000102;0.878514;81;12
0.000080;0.836227;87;11
0.000031;1.054866;89;10
0.000055;0.505133;91;10
0.000111;0.902923;97;12
0.000083;0.594819;102;11
0.000037;0.706106;107;9
0.000849;1.156063;119;12
0.000119;0.692935;120;11
0.000031;1.073108;121;10
0.000082;0.724357;124;11
50.000000;1000000.000000;131;11
0.115416;0.716126;140;10
0.054257;0.605346;143;9
0.000029;0.451458;146;10
0.000070;0.735219;147;10
0.001880;0.779703;152;11
0.000166;0.818222;155;12
0.000030;1.047834;168;10
0.000077;0.662704;171;11
0.000063;0.790371;175;11
0.000158;0.897017;179;11
0.000030;0.686338;181;10
0.000125;0.831787;185;12
0.756480;1.015252;197;12
50.000000;1000000.000000;206;12
0.000049;0.551268;207;10
0.000162;0.869113;210;12
0.000067;1.057595;217;12
0.252249;0.681582;222;11
0.000056;0.755821;223;10
0.000694;0.707727;231;12
0.000116;0.484975;236;10
0.000049;0.637160;238;10
0.000030;0.884737;239;10
0.000054;0.750582;241;10
0.000137;0.643252;243;12
50.000000;1000000.000000;246;9
0.000049;0.645674;253;12
0.000030;0.748663;265;10
0.000529;0.837618;266;11
0.000044;0.693334;267;10
0.000022;0.528683;268;9
0.000087;1.139483;273;12
0.000075;0.593706;277;10
0.000103;0.993574;282;11
0.000236;0.741208;288;10
0.000024;0.780657;290;9
50.000000;1000000.000000;291;11
0.000042;0.901558;292;11
0.000051;1.034488;294;10
