TTS;energy1;layout;number_sidb
0.008577;0.967420;hex_21_inputsdbp_xor_v1_01.sqd;21
0.018115;0.860520;12_hex_inputsdbp_fo2_v6_0.sqd;20
0.045167;0.922980;12_hex_inputsdbp_fo2_v6_1.sqd;20
0.003928;0.936640;hex_21_inputsdbp_xor_v1_00.sqd;21
0.017230;0.838810;hex_21_inputsdbp_xor_v1_10.sqd;21
0.027863;1.393550;22_hex_inputsdbp_hourglass_v0.sqd;30
0.003555;0.779700;hex_21_inputsdbp_xor_v1_11.sqd;21
0.018165;0.816990;hex_11_inputsdbp_inv_straight_v0_manual_1.sqd;18
0.002007;0.750210;hex_11_inputsdbp_inv_straight_v0_manual_0.sqd;18
0.012742;0.955370;hex_21_inputsdbp_xnor_v21_01.sqd;21
0.003013;0.880730;hex_11_inputsdbp_inv_diag_v0_manual_0.sqd;18
0.019284;0.928620;22_hex_inputsdbp_ha_v2_10.sqd;24
0.023898;0.972270;22_hex_inputsdbp_ha_v2_11.sqd;24
0.009809;0.949090;hex_11_inputsdbp_inv_diag_v0_manual_1.sqd;18
0.021912;0.983800;21_hex_inputsdbp_nor_v7.sqd;21
0.006265;1.006390;hex_21_inputsdbp_xnor_v21_00.sqd;21
0.004545;0.880730;hex_11_inputsdbp_inv_diag_v0_manual.sqd;19
0.025490;1.019390;22_hex_inputsdbp_ha_v2.sqd;26
0.014587;0.826180;21_hex_inputsdbp_nand_v7.sqd;21
0.007866;0.928990;21_hex_inputsdbp_and_v19.sqd;23
0.010861;0.947090;hex_21_inputsdbp_xnor_v21_10.sqd;21
0.018153;0.920100;22_hex_inputsdbp_ha_v2_01.sqd;24
0.009476;1.019390;22_hex_inputsdbp_ha_v2_00.sqd;24
0.026033;0.843640;hex_21_inputsdbp_xnor_v21_11.sqd;21
0.000581;0.586760;hex_11_inputsdbp_wire_straight_v0_manual_0.sqd;15
0.017739;1.006390;hex_21_inputsdbp_xnor_v21.sqd;23
0.002638;0.663860;hex_11_inputsdbp_wire_diag_v0_manual_1.sqd;16
0.003901;0.750210;hex_11_inputsdbp_inv_straight_v0_manual.sqd;19
0.002583;0.607130;hex_11_inputsdbp_wire_diag_v0_manual_0.sqd;16
0.000871;0.586760;hex_11_inputsdbp_wire_straight_v0_manual.sqd;16
0.001062;0.503000;hex_11_inputsdbp_wire_straight_v0_manual_1.sqd;15
0.025751;1.131080;22_hex_inputsdbp_cx_try2_v0_10.sqd;27
0.019371;1.283150;22_hex_inputsdbp_hourglass_v0_01.sqd;28
